task,markers,problems,raw,json,clustered,signature
m1_cluster_001,160,1,66440,4525,4485,337
m1_cluster_002,480,1,101800,13485,13065,337
m1_cluster_003,1920,1,262120,53805,52721,340
m1_cluster_004,7680,1,905320,215085,213512,340
m1_multi_001,1,1,49101,66,133,151
m1_multi_002,1,1,49101,92,159,177
m1_multi_003,2,1,49202,151,197,268
m1_multi_004,2,2,49202,91,185,159
m1_multi_005,2,2,49202,117,211,185
m1_multi_006,4,2,49404,201,253,284
m1_multi_007,5,5,49505,166,341,183
m1_multi_008,5,5,49505,192,367,209
m1_multi_009,10,5,50010,351,421,332
m1_multi_010,10,10,50010,291,601,223
m1_multi_011,10,10,50010,317,627,249
m1_multi_012,20,10,51020,601,701,412
m1_multi_013,25,25,51525,666,1381,330
m1_multi_014,25,25,51525,692,1407,356
m1_multi_015,50,25,54050,1351,1541,627
m1_multi_016,50,50,54050,1291,2681,330
m1_multi_017,50,50,54050,1317,2707,356
m1_multi_018,100,50,59100,2601,2941,627
m1_multi_019,200,100,69200,5101,5741,627
m1_multi_020,400,200,89400,10101,11341,627
m1_space_001,1,1,49101,66,133,151
m1_space_002,1,1,49101,92,159,177
