task,representation,model,input_tokens,output_tokens,cost_usd,latency_s,parse_ok,reported,truth,count_error,matched,precision,recall,f1,rule_accuracy,fix_validity
m1_cluster_001,raw,mock_empty,66595,5,0.0,0.046,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_001,json,mock_empty,4680,5,0.0,0.002,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_001,clustered,mock_empty,4641,5,0.0,0.002,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_001,signature,mock_empty,492,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_002,raw,mock_empty,101955,5,0.0,0.04,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_002,json,mock_empty,13640,5,0.0,0.005,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_002,clustered,mock_empty,13221,5,0.0,0.005,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_002,signature,mock_empty,492,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_003,raw,mock_empty,262275,5,0.0,0.108,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_003,json,mock_empty,53960,5,0.0,0.018,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_003,clustered,mock_empty,52877,5,0.0,0.019,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_003,signature,mock_empty,495,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_004,raw,mock_empty,905475,5,0.0,0.378,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_004,json,mock_empty,215240,5,0.0,0.073,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_004,clustered,mock_empty,213668,5,0.0,0.075,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_004,signature,mock_empty,495,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_005,raw,mock_empty,3482115,5,0.0,1.475,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_005,json,mock_empty,860360,5,0.0,0.294,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_005,clustered,mock_empty,856324,5,0.0,0.319,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_cluster_005,signature,mock_empty,495,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_001,raw,mock_empty,49256,5,0.0,0.019,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_001,json,mock_empty,221,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_001,clustered,mock_empty,289,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_001,signature,mock_empty,306,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_002,raw,mock_empty,49256,5,0.0,0.02,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_002,json,mock_empty,247,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_002,clustered,mock_empty,315,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_002,signature,mock_empty,332,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_003,raw,mock_empty,49357,5,0.0,0.02,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_003,json,mock_empty,306,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_003,clustered,mock_empty,353,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_003,signature,mock_empty,423,5,0.0,0.0,True,0,1,-1,0,0.0,0.0,0.0,0.0,0.0
m1_multi_004,raw,mock_empty,49357,5,0.0,0.02,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_004,json,mock_empty,246,5,0.0,0.0,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_004,clustered,mock_empty,341,5,0.0,0.0,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_004,signature,mock_empty,314,5,0.0,0.0,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_005,raw,mock_empty,49357,5,0.0,0.02,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_005,json,mock_empty,272,5,0.0,0.0,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_005,clustered,mock_empty,367,5,0.0,0.0,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_005,signature,mock_empty,340,5,0.0,0.0,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_006,raw,mock_empty,49559,5,0.0,0.02,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_006,json,mock_empty,356,5,0.0,0.0,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_006,clustered,mock_empty,409,5,0.0,0.0,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_006,signature,mock_empty,439,5,0.0,0.0,True,0,2,-2,0,0.0,0.0,0.0,0.0,0.0
m1_multi_007,raw,mock_empty,49660,5,0.0,0.021,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_007,json,mock_empty,321,5,0.0,0.0,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_007,clustered,mock_empty,497,5,0.0,0.0,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_007,signature,mock_empty,338,5,0.0,0.0,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_008,raw,mock_empty,49660,5,0.0,0.02,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_008,json,mock_empty,347,5,0.0,0.0,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_008,clustered,mock_empty,523,5,0.0,0.0,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_008,signature,mock_empty,364,5,0.0,0.0,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_009,raw,mock_empty,50165,5,0.0,0.02,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_009,json,mock_empty,506,5,0.0,0.0,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_009,clustered,mock_empty,577,5,0.0,0.0,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_009,signature,mock_empty,487,5,0.0,0.0,True,0,5,-5,0,0.0,0.0,0.0,0.0,0.0
m1_multi_010,raw,mock_empty,50165,5,0.0,0.02,True,0,10,-10,0,0.0,0.0,0.0,0.0,0.0
m1_multi_010,json,mock_empty,446,5,0.0,0.0,True,0,10,-10,0,0.0,0.0,0.0,0.0,0.0
m1_multi_010,clustered,mock_empty,757,5,0.0,0.0,True,0,10,-10,0,0.0,0.0,0.0,0.0,0.0
m1_multi_010,signature,mock_empty,378,5,0.0,0.0,True,0,10,-10,0,0.0,0.0,0.0,0.0,0.0
m1_multi_011,raw,mock_empty,50165,5,0.0,0.02,True,0,10,-10,0,0.0,0.0,0.0,0.0,0.0
m1_multi_011,json,mock_empty,472,5,0.0,0.0,True,0,10,-10,0,0.0,0.0,0.0,0.0,0.0
m1_multi_011,clustered,mock_empty,783,5,0.0,0.0,True,0,10,-10,0,0.0,0.0,0.0,0.0,0.0
m1_multi_011,signature,mock_empty,404,5,0.0,0.0,True,0,10,-10,0,0.0,0.0,0.0,0.0,0.0
m1_multi_012,raw,mock_empty,51175,5,0.0,0.02,True,0,10,-10,0,0.0,0.0,0.0,0.0,0.0
