task,representation,model,input_tokens,output_tokens,cost_usd,latency_s,parse_ok,reported,truth,count_error,matched,precision,recall,f1,rule_accuracy,fix_validity
m1_cluster_001,raw,mock_one_per_marker,66595,6084,0.0,0.037,True,160,1,159,1,0.0063,1.0,0.0124,1.0,0.0
m1_cluster_001,json,mock_one_per_marker,4680,6084,0.0,0.005,True,160,1,159,1,0.0063,1.0,0.0124,1.0,0.0
m1_cluster_001,clustered,mock_one_per_marker,4641,6084,0.0,0.005,True,160,1,159,1,0.0063,1.0,0.0124,1.0,0.0
m1_cluster_001,signature,mock_one_per_marker,492,6084,0.0,0.003,True,160,1,159,1,0.0063,1.0,0.0124,1.0,0.0
m1_cluster_002,raw,mock_one_per_marker,101955,18244,0.0,0.049,True,480,1,479,1,0.0021,1.0,0.0042,1.0,0.0
m1_cluster_002,json,mock_one_per_marker,13640,18244,0.0,0.013,True,480,1,479,1,0.0021,1.0,0.0042,1.0,0.0
m1_cluster_002,clustered,mock_one_per_marker,13221,18244,0.0,0.014,True,480,1,479,1,0.0021,1.0,0.0042,1.0,0.0
m1_cluster_002,signature,mock_one_per_marker,492,18244,0.0,0.009,True,480,1,479,1,0.0021,1.0,0.0042,1.0,0.0
m1_cluster_003,raw,mock_one_per_marker,262275,73885,0.0,0.144,True,1920,1,1919,1,0.0005,1.0,0.001,1.0,0.0
m1_cluster_003,json,mock_one_per_marker,53960,73885,0.0,0.055,True,1920,1,1919,1,0.0005,1.0,0.001,1.0,0.0
m1_cluster_003,clustered,mock_one_per_marker,52877,73885,0.0,0.056,True,1920,1,1919,1,0.0005,1.0,0.001,1.0,0.0
m1_cluster_003,signature,mock_one_per_marker,495,73885,0.0,0.035,True,1920,1,1919,1,0.0005,1.0,0.001,1.0,0.0
m1_cluster_004,raw,mock_one_per_marker,905475,298525,0.0,0.627,True,7680,1,7679,1,0.0001,1.0,0.0003,1.0,0.0
m1_cluster_004,json,mock_one_per_marker,215240,298525,0.0,0.452,True,7680,1,7679,1,0.0001,1.0,0.0003,1.0,0.0
m1_cluster_004,clustered,mock_one_per_marker,213668,298525,0.0,0.298,True,7680,1,7679,1,0.0001,1.0,0.0003,1.0,0.0
m1_cluster_004,signature,mock_one_per_marker,495,298525,0.0,0.17,True,7680,1,7679,1,0.0001,1.0,0.0003,1.0,0.0
m1_cluster_005,raw,mock_one_per_marker,3482115,1197085,0.0,2.572,True,30720,1,30719,1,0.0,1.0,0.0001,1.0,0.0
m1_cluster_005,json,mock_one_per_marker,860360,1197085,0.0,1.033,True,30720,1,30719,1,0.0,1.0,0.0001,1.0,0.0
m1_cluster_005,clustered,mock_one_per_marker,856324,1197085,0.0,1.136,True,30720,1,30719,1,0.0,1.0,0.0001,1.0,0.0
m1_cluster_005,signature,mock_one_per_marker,495,1197085,0.0,0.681,True,30720,1,30719,1,0.0,1.0,0.0001,1.0,0.0
m1_multi_001,raw,mock_one_per_marker,49256,39,0.0,0.023,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_multi_001,json,mock_one_per_marker,221,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_multi_001,clustered,mock_one_per_marker,289,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_multi_001,signature,mock_one_per_marker,306,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_multi_002,raw,mock_one_per_marker,49256,39,0.0,0.023,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_multi_002,json,mock_one_per_marker,247,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_multi_002,clustered,mock_one_per_marker,315,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_multi_002,signature,mock_one_per_marker,332,39,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,0.0
m1_multi_003,raw,mock_one_per_marker,49357,74,0.0,0.023,True,2,1,1,1,0.5,1.0,0.6667,0.0,0.0
m1_multi_003,json,mock_one_per_marker,306,74,0.0,0.0,True,2,1,1,1,0.5,1.0,0.6667,0.0,0.0
m1_multi_003,clustered,mock_one_per_marker,353,74,0.0,0.0,True,2,1,1,1,0.5,1.0,0.6667,0.0,0.0
m1_multi_003,signature,mock_one_per_marker,423,74,0.0,0.0,True,2,1,1,1,0.5,1.0,0.6667,0.0,0.0
m1_multi_004,raw,mock_one_per_marker,49357,74,0.0,0.023,True,2,2,0,2,1.0,1.0,1.0,1.0,0.0
m1_multi_004,json,mock_one_per_marker,246,74,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,0.0
m1_multi_004,clustered,mock_one_per_marker,341,74,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,0.0
m1_multi_004,signature,mock_one_per_marker,314,74,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,0.0
m1_multi_005,raw,mock_one_per_marker,49357,74,0.0,0.023,True,2,2,0,2,1.0,1.0,1.0,1.0,0.0
m1_multi_005,json,mock_one_per_marker,272,74,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,0.0
m1_multi_005,clustered,mock_one_per_marker,367,74,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,0.0
m1_multi_005,signature,mock_one_per_marker,340,74,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,0.0
m1_multi_006,raw,mock_one_per_marker,49559,144,0.0,0.025,True,4,2,2,2,0.5,1.0,0.6667,0.0,0.0
m1_multi_006,json,mock_one_per_marker,356,144,0.0,0.0,True,4,2,2,2,0.5,1.0,0.6667,0.0,0.0
m1_multi_006,clustered,mock_one_per_marker,409,144,0.0,0.0,True,4,2,2,2,0.5,1.0,0.6667,0.0,0.0
m1_multi_006,signature,mock_one_per_marker,439,144,0.0,0.0,True,4,2,2,2,0.5,1.0,0.6667,0.0,0.0
m1_multi_007,raw,mock_one_per_marker,49660,179,0.0,0.023,True,5,5,0,5,1.0,1.0,1.0,1.0,0.0
m1_multi_007,json,mock_one_per_marker,321,179,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,0.0
m1_multi_007,clustered,mock_one_per_marker,497,179,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,0.0
m1_multi_007,signature,mock_one_per_marker,338,179,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,0.0
m1_multi_008,raw,mock_one_per_marker,49660,179,0.0,0.024,True,5,5,0,5,1.0,1.0,1.0,1.0,0.0
m1_multi_008,json,mock_one_per_marker,347,179,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,0.0
m1_multi_008,clustered,mock_one_per_marker,523,179,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,0.0
m1_multi_008,signature,mock_one_per_marker,364,179,0.0,0.0,True,5,5,0,5,1.0,1.0,1.0,1.0,0.0
m1_multi_009,raw,mock_one_per_marker,50165,354,0.0,0.025,True,10,5,5,5,0.5,1.0,0.6667,0.0,0.0
m1_multi_009,json,mock_one_per_marker,506,354,0.0,0.001,True,10,5,5,5,0.5,1.0,0.6667,0.0,0.0
m1_multi_009,clustered,mock_one_per_marker,577,354,0.0,0.001,True,10,5,5,5,0.5,1.0,0.6667,0.0,0.0
m1_multi_009,signature,mock_one_per_marker,487,354,0.0,0.001,True,10,5,5,5,0.5,1.0,0.6667,0.0,0.0
m1_multi_010,raw,mock_one_per_marker,50165,354,0.0,0.024,True,10,10,0,10,1.0,1.0,1.0,1.0,0.0
m1_multi_010,json,mock_one_per_marker,446,354,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,0.0
m1_multi_010,clustered,mock_one_per_marker,757,354,0.0,0.001,True,10,10,0,10,1.0,1.0,1.0,1.0,0.0
