task,representation,model,input_tokens,output_tokens,cost_usd,latency_s,parse_ok,reported,truth,count_error,matched,precision,recall,f1,rule_accuracy,fix_type,fix_validity
m1_cluster_001,raw,mock_perfect,66595,57,0.0,0.062,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_001,json,mock_perfect,4680,57,0.0,0.005,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_001,clustered,mock_perfect,4641,57,0.0,0.003,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_001,signature,mock_perfect,492,57,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_002,raw,mock_perfect,101955,57,0.0,0.059,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_002,json,mock_perfect,13640,57,0.0,0.007,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_002,clustered,mock_perfect,13221,57,0.0,0.005,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_002,signature,mock_perfect,492,57,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_003,raw,mock_perfect,262275,58,0.0,0.166,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_003,json,mock_perfect,53960,58,0.0,0.036,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_003,clustered,mock_perfect,52877,58,0.0,0.026,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_003,signature,mock_perfect,495,58,0.0,0.001,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_004,raw,mock_perfect,905475,58,0.0,0.541,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_004,json,mock_perfect,215240,58,0.0,0.117,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_004,clustered,mock_perfect,213668,58,0.0,0.097,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_004,signature,mock_perfect,495,58,0.0,0.001,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_005,raw,mock_perfect,3482115,58,0.0,2.283,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_005,json,mock_perfect,860360,58,0.0,0.387,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_005,clustered,mock_perfect,856324,58,0.0,0.697,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_cluster_005,signature,mock_perfect,495,58,0.0,0.003,True,1,1,0,1,1.0,1.0,1.0,1.0,snap_array_pitch,1.0
m1_multi_001,raw,mock_perfect,49256,50,0.0,0.02,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_001,json,mock_perfect,221,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_001,clustered,mock_perfect,289,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_001,signature,mock_perfect,306,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_002,raw,mock_perfect,49256,50,0.0,0.025,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_002,json,mock_perfect,247,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_002,clustered,mock_perfect,315,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_002,signature,mock_perfect,332,50,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_003,raw,mock_perfect,49357,55,0.0,0.025,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_003,json,mock_perfect,306,55,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_003,clustered,mock_perfect,353,55,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_003,signature,mock_perfect,423,55,0.0,0.0,True,1,1,0,1,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_004,raw,mock_perfect,49357,96,0.0,0.02,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_004,json,mock_perfect,246,96,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_004,clustered,mock_perfect,341,96,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_004,signature,mock_perfect,314,96,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_005,raw,mock_perfect,49357,96,0.0,0.029,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_005,json,mock_perfect,272,96,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_005,clustered,mock_perfect,367,96,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_005,signature,mock_perfect,340,96,0.0,0.0,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
m1_multi_006,raw,mock_perfect,49559,106,0.0,0.043,True,2,2,0,2,1.0,1.0,1.0,1.0,set_min_gap,1.0
